Id,AutobahnDomainId,ModuleName,GlobalId,TableName,ColumnName,Description,Version,ColumnType
f4c6ea90-3b94-49ac-97f5-30cffb2a9479,6d255e48-2117-43d5-9611-cfc8c9baabec,Common,000328,OrganizationIndicator,RefOrganizationIndicatorId,,10,Guid?
8089ea22-71ed-4ab6-a6a5-a1613b72daf2,,,000328,RefOrganizationIndicator,,,10,System.DateTime?
da404bc1-44d8-4d6a-a12f-ba7511d84db1,839bef77-95c2-4db8-ac2a-3a83d0aaa1a7,Postsecondary,000001,PsStudentAcademicAward,AcademicAwardDate,,10,Guid?
1232488e-84f4-434d-ac2b-f8c094805ded,839bef77-95c2-4db8-ac2a-3a83d0aaa1a7,Postsecondary,000002,PsStudentAcademicAward,RefAcademicAwardLevelId,,10,
f3e25ec3-6f0a-4200-ae51-ca13ce3e1db9,,,000002,RefAcademicAwardLevel,,,10,System.DateTime?
17441ad5-2fb5-4e60-81f7-27322b3f92bc,839bef77-95c2-4db8-ac2a-3a83d0aaa1a7,Postsecondary,000003,PsStudentAcademicAward,AcademicAwardTitle,,10,
2e47a654-af46-4ba5-8d8d-10e2a1755dc6,eec759ad-0993-445b-bf4a-897fea418edf,K12,000004,K12StudentAcademicHonor,RefAcademicHonorTypeId,,10,Guid?
23ae3b49-ca66-46df-aaae-deecec497e7f,,,000004,RefAcademicHonorType,,,10,System.DateTime?
89913b53-d82e-4d95-88f3-f5956dd00706,6d255e48-2117-43d5-9611-cfc8c9baabec,Common,000005,OrganizationFederalAccountability,AccountabilityReportTitle,,10,Guid?
ccc645ea-40e6-4ee4-a3a7-16c856843fff,6d255e48-2117-43d5-9611-cfc8c9baabec,Common,000006,OrganizationIdentifier,RefOrganizationIdentifierTypeId,,10,Guid?
13bf44a7-e697-4dca-936d-f163bb064744,6ada287e-1ec9-4e52-8df6-36a3045fcce4,Invalid,000006,RefOrganizationIdentificationSystem,,,10,System.DateTime?
78ab029c-7be8-4a5c-9abb-9b113295ceb1,6d255e48-2117-43d5-9611-cfc8c9baabec,Common,000007,OrganizationPersonRole,EntryDate,,10,Guid?
8893c594-6245-4654-a4c8-6c99a2f6cd26,6d255e48-2117-43d5-9611-cfc8c9baabec,Common,000008,OrganizationPersonRole,ExitDate,,10,
3759fdd2-3c9c-4963-b59a-b7e5604be9f6,6d255e48-2117-43d5-9611-cfc8c9baabec,Common,000009,OrganizationDetail,Name,,10,Guid?
9a7ec532-8d4c-4558-8510-91847e91055d,6d255e48-2117-43d5-9611-cfc8c9baabec,Common,000011,OrganizationFederalAccountability,RefAypStatusId,,10,
51494b34-aef1-4abf-a0c2-b423c99f1321,,,000011,RefAypStatus,,,10,System.DateTime?
095976c2-d8a8-492a-af49-6403109c7bea,eec759ad-0993-445b-bf4a-897fea418edf,K12,000012,K12School,RefAdministrativeFundingControlId,,10,Guid?
5c90c89b-f82a-4a91-b841-0e43c596bb90,839bef77-95c2-4db8-ac2a-3a83d0aaa1a7,Postsecondary,000012,PsInstitution,RefAdministrativeFundingControlId,,10,Guid?
b7f3ed9e-8cdd-48d7-8020-103fda28b5a8,,,000012,RefAdministrativeFundingControl,,,10,System.DateTime?
f292507c-1137-4b1f-b45b-30e5cedc2114,ddf12dc7-761e-44ae-8fe5-9265bd728466,CTE,000013,CteCourse,CourseAlignedWithStandards,,10,Guid?
8089e145-9151-4ef8-aec5-624e3f5f94ef,eec759ad-0993-445b-bf4a-897fea418edf,K12,000013,K12Course,CourseAlignedWithStandards,,10,Guid?
b367ca2a-4b24-4088-a18e-ccad6855b818,6d255e48-2117-43d5-9611-cfc8c9baabec,Common,000014,OrganizationFederalAccountability,AlternateAypApproachIndicator,,10,
b51351a4-e851-4e0b-b987-9e2d4646a249,eec759ad-0993-445b-bf4a-897fea418edf,K12,000015,K12SchoolStatus,RefAlternativeSchoolFocusId,,10,Guid?
df436689-35ad-4f89-a107-48e223638c70,,,000015,RefAlternativeSchoolFocus,,,10,System.DateTime?
bca09b7d-91f0-47f4-bf35-eec8fa9a9a58,6ada287e-1ec9-4e52-8df6-36a3045fcce4,Invalid,000017,RefOrganizationIndicator,,,10,
